# Time	forces(pressure, viscous) moment(pressure, viscous)
0.08	(((154.33901 -3.541437 0) (0 0 0)) ((0.17707185 7.7169503 1.3900313e-08) (0 0 0)))
0.0805	(((154.33872 -3.5522859 0) (0 0 0)) ((0.17761429 7.7169361 1.3891967e-08) (0 0 0)))
0.081	(((154.33831 -3.5636633 0) (0 0 0)) ((0.17818316 7.7169156 1.3884402e-08) (0 0 0)))
0.0815	(((154.33806 -3.5746353 0) (0 0 0)) ((0.17873177 7.7169031 1.3878241e-08) (0 0 0)))
0.082	(((154.33792 -3.5840946 0) (0 0 0)) ((0.17920473 7.7168958 1.3873959e-08) (0 0 0)))
0.0825	(((154.33781 -3.5914924 0) (0 0 0)) ((0.17957462 7.7168907 1.3871963e-08) (0 0 0)))
0.083	(((154.33784 -3.5965246 0) (0 0 0)) ((0.17982623 7.7168918 1.3872214e-08) (0 0 0)))
0.0835	(((154.33797 -3.5986269 0) (0 0 0)) ((0.17993135 7.7168983 1.3874516e-08) (0 0 0)))
0.084	(((154.33811 -3.5977704 0) (0 0 0)) ((0.17988852 7.7169054 1.3878723e-08) (0 0 0)))
0.0845	(((154.33829 -3.5941442 0) (0 0 0)) ((0.17970721 7.7169145 1.388441e-08) (0 0 0)))
0.085	(((154.33846 -3.5881289 0) (0 0 0)) ((0.17940644 7.716923 1.3891077e-08) (0 0 0)))
0.0855	(((154.33861 -3.5804681 0) (0 0 0)) ((0.1790234 7.7169306 1.3898146e-08) (0 0 0)))
0.086	(((154.33866 -3.571418 0) (0 0 0)) ((0.1785709 7.7169331 1.3904895e-08) (0 0 0)))
0.0865	(((154.33875 -3.5619557 0) (0 0 0)) ((0.17809779 7.7169374 1.3911033e-08) (0 0 0)))
0.087	(((154.33873 -3.5528784 0) (0 0 0)) ((0.17764392 7.7169365 1.3916007e-08) (0 0 0)))
0.0875	(((154.33879 -3.5448958 0) (0 0 0)) ((0.17724479 7.7169395 1.391945e-08) (0 0 0)))
0.088	(((154.33884 -3.5388624 0) (0 0 0)) ((0.17694312 7.7169418 1.3921143e-08) (0 0 0)))
0.0885	(((154.33895 -3.5349349 0) (0 0 0)) ((0.17674675 7.7169474 1.3920825e-08) (0 0 0)))
0.089	(((154.33902 -3.5332135 0) (0 0 0)) ((0.17666067 7.7169509 1.3918691e-08) (0 0 0)))
0.0895	(((154.33904 -3.5339124 0) (0 0 0)) ((0.17669562 7.7169522 1.3915155e-08) (0 0 0)))
0.09	(((154.33902 -3.5368607 0) (0 0 0)) ((0.17684304 7.7169511 1.3910394e-08) (0 0 0)))
