# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0505	(((251.47752 -29.088064 0) (3.8257205 -0.12968282 -1.6779812e-17)) ((1.4544032 12.573876 -6.5639264e-09) (0.0064841412 0.19128602 0.0019767261)))
0.051	(((251.03604 -38.297896 0) (3.821583 -0.21959779 -1.7030709e-17)) ((1.9148948 12.551802 -8.0050031e-09) (0.01097989 0.19107915 -0.00017750559)))
0.0515	(((250.86472 -46.534348 0) (3.8166677 -0.30665921 -1.7390031e-17)) ((2.3267174 12.543236 -9.6368135e-09) (0.01533296 0.19083339 -0.0023735944)))
0.052	(((251.01008 -53.333796 0) (3.8130762 -0.38657205 -1.7841255e-17)) ((2.6666898 12.550504 -1.1347721e-08) (0.019328603 0.19065381 -0.004513976)))
0.0525	(((251.47004 -58.261854 0) (3.8118646 -0.45594699 -1.8385446e-17)) ((2.9130927 12.573502 -1.3411368e-08) (0.022797349 0.19059323 -0.0065933826)))
0.053	(((252.23994 -61.098305 0) (3.814042 -0.51179893 -1.8788734e-17)) ((3.0549152 12.611997 -1.5454676e-08) (0.025589946 0.1907021 -0.00864339)))
0.0535	(((253.25195 -61.488692 0) (3.819633 -0.55073011 -1.915591e-17)) ((3.0744346 12.662598 -1.7545861e-08) (0.027536506 0.19098165 -0.010549289)))
0.054	(((254.41328 -59.242081 0) (3.8284072 -0.5697376 -1.9563288e-17)) ((2.962104 12.720664 -1.940811e-08) (0.02848688 0.19142036 -0.012220121)))
0.0545	(((255.58969 -54.226269 0) (3.8395329 -0.5662761 -2.0003024e-17)) ((2.7113135 12.779485 -2.0491627e-08) (0.028313805 0.19197664 -0.013560629)))
0.055	(((256.5538 -46.371516 0) (3.8520049 -0.5376455 -2.0447386e-17)) ((2.3185758 12.82769 -2.0334937e-08) (0.026882275 0.19260024 -0.014360527)))
0.0555	(((257.12693 -35.698929 0) (3.8645592 -0.48192098 -2.0885665e-17)) ((1.7849465 12.856347 -1.9080004e-08) (0.024096049 0.19322796 -0.01443531)))
0.056	(((257.3537 -22.553817 0) (3.8768023 -0.39936714 -2.1075022e-17)) ((1.1276909 12.867685 -1.6376829e-08) (0.019968357 0.19384012 -0.013742174)))
0.0565	(((257.49046 -7.4360096 0) (3.8884072 -0.29212611 -2.059426e-17)) ((0.37180048 12.874523 -1.5391441e-08) (0.014606305 0.19442036 -0.01234718)))
0.057	(((257.51333 9.2676591 0) (3.8991535 -0.16140729 -2.0346009e-17)) ((-0.46338295 12.875667 -1.4658362e-08) (0.0080703647 0.19495767 -0.0099979603)))
0.0575	(((257.62755 26.874269 0) (3.909253 -0.011840383 -2.0137083e-17)) ((-1.3437135 12.881378 -1.3204334e-08) (0.00059201917 0.19546265 -0.0067837953)))
0.058	(((257.85707 44.628484 0) (3.9178299 0.14997503 -1.9906907e-17)) ((-2.2314242 12.892853 -1.1405345e-08) (-0.0074987515 0.19589149 -0.0028292955)))
0.0585	(((258.25556 61.281601 0) (3.9244897 0.31553965 -1.9698116e-17)) ((-3.0640801 12.912778 -7.615214e-09) (-0.015776982 0.19622449 0.001580793)))
0.059	(((258.98744 75.781635 0) (3.9297254 0.47516242 -1.9337013e-17)) ((-3.7890818 12.949372 -2.631559e-09) (-0.023758121 0.19648627 0.006093099)))
0.0595	(((260.10583 87.241565 0) (3.935218 0.61951415 -1.8982783e-17)) ((-4.3620782 13.005291 2.035071e-09) (-0.030975707 0.1967609 0.010335313)))
0.06	(((261.67976 94.836785 0) (3.9426847 0.74232836 -1.8468853e-17)) ((-4.7418392 13.083988 7.3969817e-09) (-0.037116418 0.19713423 0.014462261)))
0.0605	(((263.79859 97.973201 0) (3.9527226 0.83639874 -1.7799046e-17)) ((-4.89866 13.18993 1.3993208e-08) (-0.041819937 0.19763613 0.018213523)))
0.061	(((266.36523 96.741896 0) (3.966124 0.89585849 -1.7292687e-17)) ((-4.8370948 13.318262 2.326002e-08) (-0.044792925 0.1983062 0.021301591)))
0.0615	(((269.18573 91.121353 0) (3.983632 0.91744246 -1.6949367e-17)) ((-4.5560677 13.459286 3.2115962e-08) (-0.045872123 0.1991816 0.02370141)))
0.062	(((272.3156 81.160871 0) (4.0066398 0.898996 -1.6733464e-17)) ((-4.0580436 13.61578 3.7984807e-08) (-0.0449498 0.20033199 0.025333294)))
0.0625	(((275.4446 66.734219 0) (4.0336163 0.83734586 -1.6669543e-17)) ((-3.3367109 13.77223 4.130726e-08) (-0.041867293 0.20168082 0.02589042)))
0.063	(((278.17345 48.153664 0) (4.0613299 0.73118947 -1.6654954e-17)) ((-2.4076832 13.908673 3.9452343e-08) (-0.036559473 0.2030665 0.025041606)))
0.0635	(((279.19755 26.333753 0) (4.0844239 0.58142279 -1.654776e-17)) ((-1.3166877 13.959877 3.0838284e-08) (-0.02907114 0.20422119 0.022646736)))
0.064	(((278.59336 1.5443902 0) (4.0992841 0.39112214 -1.6703818e-17)) ((-0.07721951 13.929668 2.0614371e-08) (-0.019556107 0.2049642 0.018599076)))
0.0645	(((277.23889 -25.218285 0) (4.1054065 0.16581336 -1.6941135e-17)) ((1.2609142 13.861944 7.437243e-09) (-0.0082906682 0.20527033 0.012844245)))
0.065	(((275.88648 -52.229817 0) (4.1068844 -0.083058608 -1.7560757e-17)) ((2.6114908 13.794324 -9.6996845e-09) (0.0041529304 0.20534422 0.0060344248)))
0.0655	(((275.43199 -78.049795 0) (4.1082807 -0.34305511 -1.8491233e-17)) ((3.9024898 13.771599 -2.5799552e-08) (0.017152755 0.20541403 -0.0014044072)))
0.066	(((277.74058 -101.54147 0) (4.1179616 -0.59829158 -1.9323456e-17)) ((5.0770734 13.887029 -3.5825196e-08) (0.029914579 0.20589808 -0.0087489647)))
0.0665	(((283.60261 -120.69787 0) (4.142725 -0.83624207 -2.0455671e-17)) ((6.0348933 14.18013 -3.7083795e-08) (0.041812104 0.20713625 -0.016349189)))
0.067	(((293.39103 -132.52765 0) (4.1884749 -1.0354258 -2.1765529e-17)) ((6.6263827 14.669552 -4.0080611e-08) (0.051771292 0.20942375 -0.023590113)))
